animal_name,source,text,media_link,wikipedia_link
coyote,https://www.animalfactsencyclopedia.com/Coyote-facts.html,"There are 19 sub-species of coyote spanning the entire U.S.,(including Alaska) Central America and most of Canada.",,/wiki/Coyote
coyote,https://www.animalfactsencyclopedia.com/Coyote-facts.html,"Coyotes have been known to team up with badgers when hunting small game, the coyote chasing the animal to ground and the badger digging it out.",,/wiki/Coyote
coyote,https://www.animalfactsencyclopedia.com/Coyote-facts.html,"The amazingly adaptive coyote population in North America seems unaffected by human expansion. The ""Urban Coyote"" has been spotted in Hollywood California and even Central Park, N.Y.!",,/wiki/Coyote
degu,https://www.animalfactsencyclopedia.com/Degu-facts.html,Degus are related to chinchillas,,/wiki/Common_degu
degu,https://www.animalfactsencyclopedia.com/Degu-facts.html,"but degus are not nocturnal, they are awake during the day",,/wiki/Common_degu
degu,https://www.animalfactsencyclopedia.com/Degu-facts.html,Degus live in huge colonies of as many as 100,,/wiki/Common_degu
degu,https://www.animalfactsencyclopedia.com/Degu-facts.html,"The degu is not tolerant of sugars, and is used in diabetes research",,/wiki/Common_degu
degu,https://www.animalfactsencyclopedia.com/Degu-facts.html,"Degus are usually brown, but some pets come in new colors",,/wiki/Common_degu
degu,https://www.animalfactsencyclopedia.com/Degu-facts.html,"Degus are very vocal, making chattering, squeaking and chuckling noises",,/wiki/Common_degu
dingo,https://www.animalfactsencyclopedia.com/Dingo-facts.html,"Dingoes are neither dogs nor wolves, they are their own distinct species",,/wiki/Dingo
dingo,https://www.animalfactsencyclopedia.com/Dingo-facts.html,The dingo is also called the warrigal,,/wiki/Dingo
dingo,https://www.animalfactsencyclopedia.com/Dingo-facts.html,"Dingoes are usually red, but can be black, cream and even white",,/wiki/Dingo
dingo,https://www.animalfactsencyclopedia.com/Dingo-facts.html,The dingo is the largest carnivore in Australia,,/wiki/Dingo
dingo,https://www.animalfactsencyclopedia.com/Dingo-facts.html,Packs of dingoes can take down a full grown kangaroo,,/wiki/Dingo
dingo,https://www.animalfactsencyclopedia.com/Dingo-facts.html,Kangaroos have been known to drown dingoes,,/wiki/Dingo
dingo,https://www.animalfactsencyclopedia.com/Dingo-facts.html,Dingoes can be found on cave paintings,,/wiki/Dingo
dingo,https://www.animalfactsencyclopedia.com/Dingo-facts.html,The longest fence in the world was built to keep dingoes out of Southeast Australia,,/wiki/Dingo
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,Dogs have been domesticated longer than any other animal,,/wiki/Dog
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,There are over 300 breeds of dogs worldwide,,/wiki/Dog
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,Some dogs can recognize over 1000 words,,/wiki/Dog
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,There are approximately 600 million dogs in the world,,/wiki/Dog
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,Dogs range in size from 2 to over 200 pounds,,/wiki/Dog
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,"A dogs sense of smell is 10,000 times more powerful than ours",,/wiki/Dog
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,"Bloodhounds don't smell blood, the ""blood"" in their name refers to bluebloods - because at one time only royalty could own them",,/wiki/Dog
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,Yorkshire terriers were bred small so they could hunt rats and mice in factories where they fit under the machinery,,/wiki/Dog
dog,https://www.animalfactsencyclopedia.com/All-About-Dogs.html,"The Russian wolfhound - or Borzoi-  really did hunt wolves, but they hunted in groups of four or five",,/wiki/Dog
dolphin,https://www.animalfactsencyclopedia.com/Dolphin-facts.html,"Although the bottlenose is most familiar, there are 41 different species of dolphin!",,/wiki/Dolphin
dolphin,https://www.animalfactsencyclopedia.com/Dolphin-facts.html,The killer whale is a actually a species of dolphin.,,/wiki/Dolphin
dolphin,https://www.animalfactsencyclopedia.com/Dolphin-facts.html,The bottle nose dolphins top speed is almost 30mph,,/wiki/Dolphin
dolphin,https://www.animalfactsencyclopedia.com/Dolphin-facts.html,Dolphins sleep with 1/2 their brain at a time!,,/wiki/Dolphin
dolphin,https://www.animalfactsencyclopedia.com/Dolphin-facts.html,"Bottlenose dolphins each have their own ""whistle"" that they use to identify themselves - exactly like a human name",,/wiki/Dolphin
dolphin,https://www.animalfactsencyclopedia.com/Dolphin-facts.html,The dolphin is one of the few animals to be born tail first  - Dolphin Facts,,/wiki/Dolphin
echidna,https://www.animalfactsencyclopedia.com/Echidna-facts.html,"Hidden under the spines, echidnas have a teeny, tiny tail",,/wiki/Echidna
echidna,https://www.animalfactsencyclopedia.com/Echidna-facts.html,"A baby echidna is called a ""puggle""",,/wiki/Echidna
echidna,https://www.animalfactsencyclopedia.com/Echidna-facts.html,The echidna can use it's beak like a crowbar to flip stones,,/wiki/Echidna
echidna,https://www.animalfactsencyclopedia.com/Echidna-facts.html,There are 4 species of echidna,,/wiki/Echidna
echidna,https://www.animalfactsencyclopedia.com/Echidna-facts.html,"The echidna has no external ears, but excellent hearing",,/wiki/Echidna
echidna,https://www.animalfactsencyclopedia.com/Echidna-facts.html,Echidnas have electrosensors in their noses,,/wiki/Echidna
echidna,https://www.animalfactsencyclopedia.com/Echidna-facts.html,Echidnas blow snot bubbles with their nostrils to keep dust out,,/wiki/Echidna
echidna,https://www.animalfactsencyclopedia.com/Echidna-facts.html,Echidnas have no teeth,,/wiki/Echidna
elephant,https://www.animalfactsencyclopedia.com/Elephant-facts.html,The Asian elephant is often commonly referred to as the Indian elephant,,/wiki/Elephant
elephant,https://www.animalfactsencyclopedia.com/Elephant-facts.html,"Wild African and Asian elephants reaching adulthood without ever growing tusks is becoming more common - an amazing evolutionary result of adults with large, well-formed tusks being killed off for their ivory before they can reproduce.- a very recent elephant fact and a fascinating example of micro-evolution!",,/wiki/Elephant
elephant,https://www.animalfactsencyclopedia.com/Elephant-facts.html,The Asian elephant has much smaller ears than the African elephant and has two distinctive bumps on thetop of the head.,,/wiki/Elephant
elephant,https://www.animalfactsencyclopedia.com/Elephant-facts.html,The largest bull African elephants can have 10 foot long tusks and must become accustomed to walking with their heads slightly  raised lest they stop short jousting the ground  - Elephant Facts,,/wiki/Elephant
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,"Male elk lose their antlers in late winter, and grow a new pair in the spring",,/wiki/Elk
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,"Elk have teeth called ""ivories"" that were once 8-inch long tusks like a walrus",,/wiki/Elk
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,Elk antlers may weigh 40 pounds,,/wiki/Elk
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,"Elk are ruminants and ""chew their cud"" just like a cow",,/wiki/Elk
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,A well-organized elk herd can deter a wolf pack attack,,/wiki/Elk
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,"Elk are also known by the Shawnee Indian name ""wapiti""",,/wiki/Elk
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,Elk ivories are used in jewelry,,/wiki/Elk
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,The elk antler has properties that can fight cancer and other diseases,,/wiki/Elk
elk,https://www.animalfactsencyclopedia.com/Elk-facts.html,Elk are raised on farms where their antlers can be safely harvested without harming the elk,,/wiki/Elk
fossa,https://www.animalfactsencyclopedia.com/Fossa-facts.html,The fossa is related to the mongoose,,/wiki/Fossa_(animal)
fossa,https://www.animalfactsencyclopedia.com/Fossa-facts.html,The fossas favorite prey are lemurs,,/wiki/Fossa_(animal)
fossa,https://www.animalfactsencyclopedia.com/Fossa-facts.html,Fossas are about 20 to 30 inches long without the tail,,/wiki/Fossa_(animal)
fossa,https://www.animalfactsencyclopedia.com/Fossa-facts.html,The tail is usually as long as the body,,/wiki/Fossa_(animal)
fossa,https://www.animalfactsencyclopedia.com/Fossa-facts.html,Fossas weigh 15 to 30 pounds with males larger,,/wiki/Fossa_(animal)
fossa,https://www.animalfactsencyclopedia.com/Fossa-facts.html,Fossas are a solid bronze/brown color with brown eyes,,/wiki/Fossa_(animal)
fox,https://www.animalfactsencyclopedia.com/Fox-facts.html,"The red fox is not always red, but a variety of shades from cream to almost black.",,/wiki/Fox
fox,https://www.animalfactsencyclopedia.com/Fox-facts.html,A foxes bones are about 30% lighter than the same size bone of a domestic dog.,,/wiki/Fox
fox,https://www.animalfactsencyclopedia.com/Fox-facts.html,The fox can hear rodents underground.,,/wiki/Fox
fox,https://www.animalfactsencyclopedia.com/Fox-facts.html,The grey fox has partially retractable claws - almost like a cat.,,/wiki/Fox
fox,https://www.animalfactsencyclopedia.com/Fox-facts.html,"The fox is taxonomically a carnivore, but will eat almost anything, including fruit",,/wiki/Fox
fox,https://www.animalfactsencyclopedia.com/Fox-facts.html,"The ""fox hunt"" is one of the most common themes in oil paintings, but rarely depicts the fox.",,/wiki/Fox
giraffe,https://www.animalfactsencyclopedia.com/Giraffe-facts.html,The giraffe is the largest ruminant and the worlds tallest animal,,/wiki/Giraffe
giraffe,https://www.animalfactsencyclopedia.com/Giraffe-facts.html,Male giraffes can be 18 feet tall at the top of the horns,,/wiki/Giraffe
giraffe,https://www.animalfactsencyclopedia.com/Giraffe-facts.html,"Giraffes have 2 to 5 horns called ""occicones""",,/wiki/Giraffe
giraffe,https://www.animalfactsencyclopedia.com/Giraffe-facts.html,The giraffes neck is 6 to 8 feet long and can weigh over 600 pounds,,/wiki/Giraffe
giraffe,https://www.animalfactsencyclopedia.com/Giraffe-facts.html,"Giraffes ""chew their cud"" just like cows",,/wiki/Giraffe
giraffe,https://www.animalfactsencyclopedia.com/Giraffe-facts.html,Giraffes defend themselves by kicking,,/wiki/Giraffe
giraffe,https://www.animalfactsencyclopedia.com/Giraffe-facts.html,A giraffes kick can kill a lion!,,/wiki/Giraffe
giraffe,https://www.animalfactsencyclopedia.com/Giraffe-facts.html,The giraffes tongue is about 18 inches long,,/wiki/Giraffe
gorilla,https://www.animalfactsencyclopedia.com/Gorilla-facts.html,"A group of gorillas is called a ""troop""",,/wiki/Gorilla
gorilla,https://www.animalfactsencyclopedia.com/Gorilla-facts.html,The gorilla is the largest of the great apes,,/wiki/Gorilla
gorilla,https://www.animalfactsencyclopedia.com/Gorilla-facts.html,"Adult male gorillas are called ""silverbacks"" for the silver hair that grows on their backs",,/wiki/Gorilla
gorilla,https://www.animalfactsencyclopedia.com/Gorilla-facts.html,"Western silverbacks have silver hair down their sides and thighs, Eastern silverbacks have a defined patch of silver between the shoulders.",,/wiki/Gorilla
gorilla,https://www.animalfactsencyclopedia.com/Gorilla-facts.html,Adult male gorillas are usually two times the size of adult females.,,/wiki/Gorilla
gorilla,https://www.animalfactsencyclopedia.com/Gorilla-facts.html,All gorilla species are critically endangered.,,/wiki/Gorilla
gorilla,https://www.animalfactsencyclopedia.com/Gorilla-facts.html,The mountain gorilla was not known to exist until 1902,,/wiki/Gorilla
gorilla,https://www.animalfactsencyclopedia.com/Gorilla-facts.html,Gorillas are almost entirely vegetarian only occasionally eating small insects .- Gorilla Facts!,,/wiki/Gorilla
grizzly bear,https://www.animalfactsencyclopedia.com/Grizzly-bear-facts.html,The grizzly bear can eat about 100 pounds of food a day.,,/wiki/Grizzly_bear
grizzly bear,https://www.animalfactsencyclopedia.com/Grizzly-bear-facts.html,Grizzly bears do not hibernate - they are in a dormant state but their body temperature does not drop dramatically as in true hibernation.,,/wiki/Grizzly_bear
grizzly bear,https://www.animalfactsencyclopedia.com/Grizzly-bear-facts.html,Grizzly bears and polar bears occasionally inter-breed in the wild. Some think their reddish-colored offspring are mistaken for Bigfoot!,,/wiki/Grizzly_bear
grizzly bear,https://www.animalfactsencyclopedia.com/Grizzly-bear-facts.html,The grizzly bears sense of smell is seven times greater than that of a bloodhound.,,/wiki/Grizzly_bear
grizzly bear,https://www.animalfactsencyclopedia.com/Grizzly-bear-facts.html,Grizzly bears stay with their mothers for as long as five years,,/wiki/Grizzly_bear
grizzly bear,https://www.animalfactsencyclopedia.com/Grizzly-bear-facts.html,A new-born baby grizzly bear is smaller than a guinea pig -  Amazing Grizzly Bear Facts!,,/wiki/Grizzly_bear
groundhog,https://www.animalfactsencyclopedia.com/Groundhog-facts.html,The groundhog is also known as the woodchuck,,/wiki/Groundhog
groundhog,https://www.animalfactsencyclopedia.com/Groundhog-facts.html,The groundhogs burrow is called a sette (pronounced set),,/wiki/Groundhog
